.HEADER
..NAMES
Time,V U1.AC22
.DATA
0.0e+000,1.1828
3.86e-011,1.1828
7.72e-011,1.1828
1.157e-010,1.1828
1.543e-010,1.1828
1.929e-010,1.1828
2.314e-010,1.1828
2.700e-010,1.1878
3.086e-010,1.1914
3.472e-010,1.1794
3.857e-010,1.1272
4.243e-010,1.0145
4.629e-010,0.8671
5.015e-010,0.7225
5.401e-010,0.5890
5.786e-010,0.4792
6.172e-010,0.3978
6.558e-010,0.3456
6.944e-010,0.3159
7.329e-010,0.2855
7.715e-010,0.2846
8.101e-010,0.3137
8.486e-010,0.3850
8.872e-010,0.5041
9.258e-010,0.6634
9.644e-010,0.8190
1.0029e-009,0.9515
1.0415e-009,1.0542
1.0801e-009,1.1257
1.1187e-009,1.1715
1.1572e-009,1.1984
1.1958e-009,1.2404
1.2344e-009,1.2554
1.2730e-009,1.2508
1.3115e-009,1.2178
1.3501e-009,1.1263
1.3887e-009,0.9759
1.4273e-009,0.8074
1.4658e-009,0.6383
1.5044e-009,0.4931
1.5430e-009,0.3900
1.5816e-009,0.3286
1.6202e-009,0.2974
1.6587e-009,0.2832
1.6973e-009,0.2767
1.7359e-009,0.2703
1.7745e-009,0.2642
1.8130e-009,0.2647
1.8516e-009,0.2718
1.8902e-009,0.2849
1.9288e-009,0.3051
1.9673e-009,0.3276
2.0059e-009,0.3451
2.0445e-009,0.3553
2.0830e-009,0.3582
2.1216e-009,0.3540
2.1602e-009,0.3445
2.1988e-009,0.3341
2.2374e-009,0.3261
2.2759e-009,0.3209
2.3145e-009,0.3180
2.3531e-009,0.3174
2.3916e-009,0.3179
2.4302e-009,0.3179
2.4688e-009,0.3182
2.5074e-009,0.3182
2.5459e-009,0.3171
2.5845e-009,0.3164
2.6231e-009,0.3216
2.6617e-009,0.3430
2.7003e-009,0.3987
2.7388e-009,0.5022
2.7774e-009,0.6452
2.8160e-009,0.7990
2.8545e-009,0.9155
2.8931e-009,0.9989
2.9317e-009,1.0595
2.9703e-009,1.1052
3.0089e-009,1.1400
3.0474e-009,1.1648
3.0860e-009,1.2210
3.1246e-009,1.2372
3.1631e-009,1.2290
3.2017e-009,1.1792
3.2403e-009,1.0638
3.2789e-009,0.9026
3.3175e-009,0.7324
3.3560e-009,0.5701
3.3946e-009,0.4424
3.4332e-009,0.3598
3.4717e-009,0.3155
3.5103e-009,0.2944
3.5489e-009,0.2842
3.5875e-009,0.2778
3.6260e-009,0.2698
3.6646e-009,0.2647
3.7032e-009,0.2671
3.7418e-009,0.2763
3.7803e-009,0.2926
3.8189e-009,0.3147
3.8575e-009,0.3357
3.8961e-009,0.3503
3.9346e-009,0.3577
3.9732e-009,0.3579
4.0118e-009,0.3514
4.0504e-009,0.3407
4.0890e-009,0.3308
4.1275e-009,0.3239
4.1661e-009,0.3196
4.2047e-009,0.3177
4.2433e-009,0.3178
4.2818e-009,0.3184
4.3204e-009,0.3185
4.3590e-009,0.3187
4.3975e-009,0.3182
4.4361e-009,0.3168
4.4747e-009,0.3176
4.5133e-009,0.3270
4.5519e-009,0.3586
4.5904e-009,0.4317
4.6290e-009,0.5513
4.6676e-009,0.7044
4.7062e-009,0.8467
4.7447e-009,0.9500
4.7833e-009,1.0237
4.8219e-009,1.0781
4.8604e-009,1.1193
4.8990e-009,1.1503
4.9376e-009,1.1723
4.9762e-009,1.1869
5.0147e-009,1.1962
5.0533e-009,1.2011
5.0919e-009,1.2007
5.1305e-009,1.1942
5.1691e-009,1.1815
5.2076e-009,1.1651
5.2462e-009,1.1507
5.2848e-009,1.1454
5.3234e-009,1.1488
5.3619e-009,1.1558
5.4005e-009,1.1626
5.4391e-009,1.1686
5.4776e-009,1.1732
5.5162e-009,1.1764
5.5548e-009,1.1785
5.5934e-009,1.1797
5.6320e-009,1.1803
5.6705e-009,1.1804
5.7091e-009,1.1804
5.7477e-009,1.1801
5.7863e-009,1.1806
5.8248e-009,1.1822
5.8634e-009,1.1841
5.9020e-009,1.1902
5.9405e-009,1.1928
5.9791e-009,1.1778
6.0177e-009,1.1195
6.0563e-009,1.0010
6.0948e-009,0.8529
6.1334e-009,0.7088
6.1720e-009,0.5774
6.2106e-009,0.4701
6.2492e-009,0.3917
6.2877e-009,0.3419
6.3263e-009,0.3144
6.3649e-009,0.2849
6.4035e-009,0.2871
6.4420e-009,0.3198
6.4806e-009,0.3957
6.5192e-009,0.5197
6.5577e-009,0.6811
6.5963e-009,0.8345
6.6349e-009,0.9644
6.6735e-009,1.0636
6.7121e-009,1.1321
6.7506e-009,1.1756
6.7892e-009,1.2009
6.8278e-009,1.2120
6.8664e-009,1.2145
6.9049e-009,1.2151
6.9435e-009,1.2139
6.9821e-009,1.2079
7.0206e-009,1.1972
7.0592e-009,1.1827
7.0978e-009,1.1661
7.1364e-009,1.1532
7.1749e-009,1.1488
7.2135e-009,1.1507
7.2521e-009,1.1554
7.2907e-009,1.1666
7.3293e-009,1.1783
7.3678e-009,1.1784
7.4064e-009,1.1473
7.4450e-009,1.0583
7.4835e-009,0.9191
7.5221e-009,0.7728
7.5607e-009,0.6334
7.5993e-009,0.5137
7.6379e-009,0.4212
7.6764e-009,0.3593
7.7150e-009,0.3241
7.7536e-009,0.3051
7.7922e-009,0.2929
7.8307e-009,0.2837
7.8693e-009,0.2773
7.9079e-009,0.2750
7.9464e-009,0.2785
7.9850e-009,0.2907
8.0236e-009,0.3112
8.0622e-009,0.3325
8.1008e-009,0.3477
8.1393e-009,0.3552
8.1779e-009,0.3562
8.2165e-009,0.3515
8.2550e-009,0.3429
8.2936e-009,0.3336
8.3322e-009,0.3261
8.3708e-009,0.3213
8.4093e-009,0.3188
8.4479e-009,0.3179
8.4865e-009,0.3178
8.5251e-009,0.3181
8.5637e-009,0.3187
8.6022e-009,0.3185
8.6408e-009,0.3170
8.6794e-009,0.3158
8.7179e-009,0.3210
8.7565e-009,0.3413
8.7951e-009,0.3949
8.8337e-009,0.4960
8.8722e-009,0.6372
8.9108e-009,0.7918
8.9494e-009,0.9105
8.9880e-009,0.9952
9.0266e-009,1.0567
9.0651e-009,1.1032
